Key,Choice,Question,Alternative,Rail,Teton,Dirt,Gravel,Paved,Dist,Cost,gender,age_group,age,educ,res,emp,marr,house,house_inc,ID
231,0,3,1,1,0,0,0,1,0.49,91,0,1,19,3,1,2,1,3,4,7
232,1,3,2,0,1,0,0,1,0.36,48,0,1,19,3,1,2,1,3,4,7
233,0,3,3,0,0,0,0,0,0,0,0,1,19,3,1,2,1,3,4,7
241,0,4,1,1,0,0,0,1,1.68,26,0,1,19,3,1,2,1,3,4,7
242,1,4,2,0,1,0,1,0,0.36,57,0,1,19,3,1,2,1,3,4,7
243,0,4,3,0,0,0,0,0,0,0,0,1,19,3,1,2,1,3,4,7
251,0,5,1,1,0,1,1,0,3.09,26,0,1,19,3,1,2,1,3,4,7
252,1,5,2,0,1,0,1,0,1.06,20,0,1,19,3,1,2,1,3,4,7
253,0,5,3,0,0,0,0,0,0,0,0,1,19,3,1,2,1,3,4,7
261,0,6,1,1,0,0,0,1,1.68,91,0,1,19,3,1,2,1,3,4,7
262,1,6,2,0,1,1,0,0,1.06,20,0,1,19,3,1,2,1,3,4,7
263,0,6,3,0,0,0,0,0,0,0,0,1,19,3,1,2,1,3,4,7
271,0,7,1,1,0,1,0,0,1.68,167,0,1,19,3,1,2,1,3,4,7
272,1,7,2,0,1,1,0,0,0.89,57,0,1,19,3,1,2,1,3,4,7
273,0,7,3,0,0,0,0,0,0,0,0,1,19,3,1,2,1,3,4,7
281,1,8,1,1,0,0,1,0,0.49,26,0,1,19,3,1,2,1,3,4,7
282,0,8,2,0,1,0,0,1,0.89,57,0,1,19,3,1,2,1,3,4,7
283,0,8,3,0,0,0,0,0,0,0,0,1,19,3,1,2,1,3,4,7
291,0,9,1,1,0,0,1,0,0.49,167,0,1,19,3,1,2,1,3,4,7
292,1,9,2,0,1,1,0,0,1.06,48,0,1,19,3,1,2,1,3,4,7
293,0,9,3,0,0,0,0,0,0,0,0,1,19,3,1,2,1,3,4,7
111,0,1,1,1,0,0,1,0,1.68,91,1,1,21,3,2,1,2,1,1,8
112,1,1,2,0,1,0,1,0,0.89,48,1,1,21,3,2,1,2,1,1,8
113,0,1,3,0,0,0,0,0,0,0,1,1,21,3,2,1,2,1,1,8
121,1,2,1,1,0,1,0,0,1.68,26,1,1,21,3,2,1,2,1,1,8
122,0,2,2,0,1,0,0,1,1.06,48,1,1,21,3,2,1,2,1,1,8
123,0,2,3,0,0,0,0,0,0,0,1,1,21,3,2,1,2,1,1,8
131,0,3,1,1,0,0,1,0,1.68,167,1,1,21,3,2,1,2,1,1,8
132,0,3,2,0,1,0,0,1,0.36,20,1,1,21,3,2,1,2,1,1,8
133,1,3,3,0,0,0,0,0,0,0,1,1,21,3,2,1,2,1,1,8
141,0,4,1,1,0,0,0,1,3.09,26,1,1,21,3,2,1,2,1,1,8
142,1,4,2,0,1,1,0,0,0.89,48,1,1,21,3,2,1,2,1,1,8
143,0,4,3,0,0,0,0,0,0,0,1,1,21,3,2,1,2,1,1,8
151,1,5,1,1,0,1,0,0,0.49,91,1,1,21,3,2,1,2,1,1,8
