Case,Choice,Question,Alternative,Rail,Teton,Dirt,Gravel,Paved,Dist,Cost,gender,age_group,age,educ,res,emp,marr,house,house_inc,ID
76,0,4,3,0,0,0,0,0,0,0,1,1,23,3,2,6,2,1,2,9
77,0,5,1,1,0,1,1,0,3.09,26,1,1,23,3,2,6,2,1,2,9
77,1,5,2,0,1,0,1,0,1.06,20,1,1,23,3,2,6,2,1,2,9
77,0,5,3,0,0,0,0,0,0,0,1,1,23,3,2,6,2,1,2,9
78,0,6,1,1,0,0,0,1,1.68,91,1,1,23,3,2,6,2,1,2,9
78,1,6,2,0,1,1,0,0,1.06,20,1,1,23,3,2,6,2,1,2,9
78,0,6,3,0,0,0,0,0,0,0,1,1,23,3,2,6,2,1,2,9
79,0,7,1,1,0,1,0,0,1.68,167,1,1,23,3,2,6,2,1,2,9
79,1,7,2,0,1,1,0,0,0.89,57,1,1,23,3,2,6,2,1,2,9
79,0,7,3,0,0,0,0,0,0,0,1,1,23,3,2,6,2,1,2,9
80,1,8,1,1,0,0,1,0,0.49,26,1,1,23,3,2,6,2,1,2,9
80,0,8,2,0,1,0,0,1,0.89,57,1,1,23,3,2,6,2,1,2,9
80,0,8,3,0,0,0,0,0,0,0,1,1,23,3,2,6,2,1,2,9
81,0,9,1,1,0,0,1,0,0.49,167,1,1,23,3,2,6,2,1,2,9
81,1,9,2,0,1,1,0,0,1.06,48,1,1,23,3,2,6,2,1,2,9
81,0,9,3,0,0,0,0,0,0,0,1,1,23,3,2,6,2,1,2,9
82,1,1,1,1,0,0,1,0,1.68,91,1,4,48,3,3,2,2,1,3,10
82,0,1,2,0,1,0,1,0,0.89,48,1,4,48,3,3,2,2,1,3,10
82,0,1,3,0,0,0,0,0,0,0,1,4,48,3,3,2,2,1,3,10
83,0,2,1,1,0,1,0,0,1.68,26,1,4,48,3,3,2,2,1,3,10
83,1,2,2,0,1,0,0,1,1.06,48,1,4,48,3,3,2,2,1,3,10
83,0,2,3,0,0,0,0,0,0,0,1,4,48,3,3,2,2,1,3,10
84,0,3,1,1,0,0,1,0,1.68,167,1,4,48,3,3,2,2,1,3,10
84,1,3,2,0,1,0,0,1,0.36,20,1,4,48,3,3,2,2,1,3,10
84,0,3,3,0,0,0,0,0,0,0,1,4,48,3,3,2,2,1,3,10
85,1,4,1,1,0,0,0,1,3.09,26,1,4,48,3,3,2,2,1,3,10
85,0,4,2,0,1,1,0,0,0.89,48,1,4,48,3,3,2,2,1,3,10
85,0,4,3,0,0,0,0,0,0,0,1,4,48,3,3,2,2,1,3,10
86,0,5,1,1,0,1,0,0,0.49,91,1,4,48,3,3,2,2,1,3,10
86,1,5,2,0,1,0,1,0,1.06,57,1,4,48,3,3,2,2,1,3,10
86,0,5,3,0,0,0,0,0,0,0,1,4,48,3,3,2,2,1,3,10
87,1,6,1,1,0,0,0,1,0.49,167,1,4,48,3,3,2,2,1,3,10
87,0,6,2,0,1,0,1,0,0.89,20,1,4,48,3,3,2,2,1,3,10
87,0,6,3,0,0,0,0,0,0,0,1,4,48,3,3,2,2,1,3,10
88,1,7,1,1,0,0,0,1,3.09,167,1,4,48,3,3,2,2,1,3,10
88,0,7,2,0,1,0,0,1,1.06,57,1,4,48,3,3,2,2,1,3,10
88,0,7,3,0,0,0,0,0,0,0,1,4,48,3,3,2,2,1,3,10
89,1,8,1,1,0,1,0,0,0.49,26,1,4,48,3,3,2,2,1,3,10
89,0,8,2,0,1,1,0,0,0.36,20,1,4,48,3,3,2,2,1,3,10
89,0,8,3,0,0,0,0,0,0,0,1,4,48,3,3,2,2,1,3,10
90,1,9,1,1,0,0,1,0,3.09,91,1,4,48,3,3,2,2,1,3,10
90,0,9,2,0,1,1,0,0,0.36,57,1,4,48,3,3,2,2,1,3,10
90,0,9,3,0,0,0,0,0,0,0,1,4,48,3,3,2,2,1,3,10
91,0,1,1,1,0,1,0,0,3.09,91,1,1,20,4,2,1,1,2,1,11
91,1,1,2,0,1,0,0,1,0.89,20,1,1,20,4,2,1,1,2,1,11
91,0,1,3,0,0,0,0,0,0,0,1,1,20,4,2,1,1,2,1,11
92,0,2,1,1,0,1,0,0,3.09,26,1,1,20,4,2,1,1,2,1,11
92,1,2,2,0,1,0,1,0,0.36,48,1,1,20,4,2,1,1,2,1,11
92,0,2,3,0,0,0,0,0,0,0,1,1,20,4,2,1,1,2,1,11
93,0,3,1,1,0,0,0,1,0.49,91,1,1,20,4,2,1,1,2,1,11
93,1,3,2,0,1,0,0,1,0.36,48,1,1,20,4,2,1,1,2,1,11
93,0,3,3,0,0,0,0,0,0,0,1,1,20,4,2,1,1,2,1,11
94,1,4,1,1,0,0,0,1,1.68,26,1,1,20,4,2,1,1,2,1,11
94,0,4,2,0,1,0,1,0,0.36,57,1,1,20,4,2,1,1,2,1,11
94,0,4,3,0,0,0,0,0,0,0,1,1,20,4,2,1,1,2,1,11
95,0,5,1,1,0,1,1,0,3.09,26,1,1,20,4,2,1,1,2,1,11
95,1,5,2,0,1,0,1,0,1.06,20,1,1,20,4,2,1,1,2,1,11
95,0,5,3,0,0,0,0,0,0,0,1,1,20,4,2,1,1,2,1,11
96,1,6,1,1,0,0,0,1,1.68,91,1,1,20,4,2,1,1,2,1,11
96,0,6,2,0,1,1,0,0,1.06,20,1,1,20,4,2,1,1,2,1,11
96,0,6,3,0,0,0,0,0,0,0,1,1,20,4,2,1,1,2,1,11
97,1,7,1,1,0,1,0,0,1.68,167,1,1,20,4,2,1,1,2,1,11
97,0,7,2,0,1,1,0,0,0.89,57,1,1,20,4,2,1,1,2,1,11
97,0,7,3,0,0,0,0,0,0,0,1,1,20,4,2,1,1,2,1,11
98,0,8,1,1,0,0,1,0,0.49,26,1,1,20,4,2,1,1,2,1,11
98,1,8,2,0,1,0,0,1,0.89,57,1,1,20,4,2,1,1,2,1,11
98,0,8,3,0,0,0,0,0,0,0,1,1,20,4,2,1,1,2,1,11
99,1,9,1,1,0,0,1,0,0.49,167,1,1,20,4,2,1,1,2,1,11
99,0,9,2,0,1,1,0,0,1.06,48,1,1,20,4,2,1,1,2,1,11
99,0,9,3,0,0,0,0,0,0,0,1,1,20,4,2,1,1,2,1,11
100,0,1,1,1,0,0,1,0,1.68,91,1,1,22,3,2,1,2,1,1,12
100,1,1,2,0,1,0,1,0,0.89,48,1,1,22,3,2,1,2,1,1,12
100,0,1,3,0,0,0,0,0,0,0,1,1,22,3,2,1,2,1,1,12
101,0,2,1,1,0,1,0,0,1.68,26,1,1,22,3,2,1,2,1,1,12
101,1,2,2,0,1,0,0,1,1.06,48,1,1,22,3,2,1,2,1,1,12
101,0,2,3,0,0,0,0,0,0,0,1,1,22,3,2,1,2,1,1,12
102,1,3,1,1,0,0,1,0,1.68,167,1,1,22,3,2,1,2,1,1,12
102,0,3,2,0,1,0,0,1,0.36,20,1,1,22,3,2,1,2,1,1,12
102,0,3,3,0,0,0,0,0,0,0,1,1,22,3,2,1,2,1,1,12
103,0,4,1,1,0,0,0,1,3.09,26,1,1,22,3,2,1,2,1,1,12
103,1,4,2,0,1,1,0,0,0.89,48,1,1,22,3,2,1,2,1,1,12
103,0,4,3,0,0,0,0,0,0,0,1,1,22,3,2,1,2,1,1,12
104,1,5,1,1,0,1,0,0,0.49,91,1,1,22,3,2,1,2,1,1,12
104,0,5,2,0,1,0,1,0,1.06,57,1,1,22,3,2,1,2,1,1,12
104,0,5,3,0,0,0,0,0,0,0,1,1,22,3,2,1,2,1,1,12
105,0,6,1,1,0,0,0,1,0.49,167,1,1,22,3,2,1,2,1,1,12
105,1,6,2,0,1,0,1,0,0.89,20,1,1,22,3,2,1,2,1,1,12
