Case,Alternative,Choice,Rail,Teton,Dirt,Gravel,Paved,Dist,Cost,gender,age_group,age,educ,res,emp,marr,house,house_inc,ID,Question,,Case_p,Alternative_p,Choice_p,Rail_p,Teton_p,Dirt_p,Gravel_p,Paved_p,Dist_p,Cost_p,ID_p,Question_p,,Case_s,Alternative_s,Choice_s,Rail_s,Teton_s,Dirt_s,Gravel_s,Paved_s,Dist_s,Cost_s,ID_s,Question_s
59,1,0,1,0,1,1,0,3.09,26,0,1,19,3,1,2,1,3,4,7,5,,59,1,0,1,0,1,1,0,3.09,26,7,5,,77,1,0,1,0,1,1,0,3.09,26,9,5
59,2,1,0,1,0,1,0,1.06,20,0,1,19,3,1,2,1,3,4,7,5,,59,2,1,0,1,0,1,0,1.06,20,7,5,,77,2,1,0,1,0,1,0,1.06,20,9,5
59,3,0,0,0,0,0,0,0,0,0,1,19,3,1,2,1,3,4,7,5,,59,3,0,0,0,0,0,0,0,0,7,5,,77,3,0,0,0,0,0,0,0,0,9,5
60,1,0,1,0,0,0,1,1.68,91,0,1,19,3,1,2,1,3,4,7,6,,60,1,0,1,0,0,0,1,1.68,91,7,6,,78,1,0,1,0,0,0,1,1.68,91,9,6
60,2,1,0,1,1,0,0,1.06,20,0,1,19,3,1,2,1,3,4,7,6,,60,2,1,0,1,1,0,0,1.06,20,7,6,,78,2,1,0,1,1,0,0,1.06,20,9,6
60,3,0,0,0,0,0,0,0,0,0,1,19,3,1,2,1,3,4,7,6,,60,3,0,0,0,0,0,0,0,0,7,6,,78,3,0,0,0,0,0,0,0,0,9,6
61,1,0,1,0,1,0,0,1.68,167,0,1,19,3,1,2,1,3,4,7,7,,61,1,0,1,0,1,0,0,1.68,167,7,7,,79,1,0,1,0,1,0,0,1.68,167,9,7
61,2,1,0,1,1,0,0,0.89,57,0,1,19,3,1,2,1,3,4,7,7,,61,2,1,0,1,1,0,0,0.89,57,7,7,,79,2,1,0,1,1,0,0,0.89,57,9,7
61,3,0,0,0,0,0,0,0,0,0,1,19,3,1,2,1,3,4,7,7,,61,3,0,0,0,0,0,0,0,0,7,7,,79,3,0,0,0,0,0,0,0,0,9,7
62,1,1,1,0,0,1,0,0.49,26,0,1,19,3,1,2,1,3,4,7,8,,62,1,1,1,0,0,1,0,0.49,26,7,8,,80,1,1,1,0,0,1,0,0.49,26,9,8
62,2,0,0,1,0,0,1,0.89,57,0,1,19,3,1,2,1,3,4,7,8,,62,2,0,0,1,0,0,1,0.89,57,7,8,,80,2,0,0,1,0,0,1,0.89,57,9,8
62,3,0,0,0,0,0,0,0,0,0,1,19,3,1,2,1,3,4,7,8,,62,3,0,0,0,0,0,0,0,0,7,8,,80,3,0,0,0,0,0,0,0,0,9,8
63,1,0,1,0,0,1,0,0.49,167,0,1,19,3,1,2,1,3,4,7,9,,63,1,0,1,0,0,1,0,0.49,167,7,9,,81,1,0,1,0,0,1,0,0.49,167,9,9
63,2,1,0,1,1,0,0,1.06,48,0,1,19,3,1,2,1,3,4,7,9,,63,2,1,0,1,1,0,0,1.06,48,7,9,,81,2,1,0,1,1,0,0,1.06,48,9,9
63,3,0,0,0,0,0,0,0,0,0,1,19,3,1,2,1,3,4,7,9,,63,3,0,0,0,0,0,0,0,0,7,9,,81,3,0,0,0,0,0,0,0,0,9,9
118,1,0,1,0,0,1,0,1.68,91,1,1,24,5,1,6,1,3,2,14,1,,118,1,0,1,0,0,1,0,1.68,91,14,1,,91,1,0,1,0,1,0,0,3.09,91,11,1
118,2,0,0,1,0,1,0,0.89,48,1,1,24,5,1,6,1,3,2,14,1,,118,2,0,0,1,0,1,0,0.89,48,14,1,,91,2,1,0,1,0,0,1,0.89,20,11,1
118,3,1,0,0,0,0,0,0,0,1,1,24,5,1,6,1,3,2,14,1,,118,3,1,0,0,0,0,0,0,0,14,1,,91,3,0,0,0,0,0,0,0,0,11,1
119,1,0,1,0,1,0,0,1.68,26,1,1,24,5,1,6,1,3,2,14,2,,119,1,0,1,0,1,0,0,1.68,26,14,2,,92,1,0,1,0,1,0,0,3.09,26,11,2
119,2,0,0,1,0,0,1,1.06,48,1,1,24,5,1,6,1,3,2,14,2,,119,2,0,0,1,0,0,1,1.06,48,14,2,,92,2,1,0,1,0,1,0,0.36,48,11,2
119,3,1,0,0,0,0,0,0,0,1,1,24,5,1,6,1,3,2,14,2,,119,3,1,0,0,0,0,0,0,0,14,2,,92,3,0,0,0,0,0,0,0,0,11,2
120,1,0,1,0,0,1,0,1.68,167,1,1,24,5,1,6,1,3,2,14,3,,120,1,0,1,0,0,1,0,1.68,167,14,3,,93,1,0,1,0,0,0,1,0.49,91,11,3
120,2,1,0,1,0,0,1,0.36,20,1,1,24,5,1,6,1,3,2,14,3,,120,2,1,0,1,0,0,1,0.36,20,14,3,,93,2,1,0,1,0,0,1,0.36,48,11,3
120,3,0,0,0,0,0,0,0,0,1,1,24,5,1,6,1,3,2,14,3,,120,3,0,0,0,0,0,0,0,0,14,3,,93,3,0,0,0,0,0,0,0,0,11,3
121,1,0,1,0,0,0,1,3.09,26,1,1,24,5,1,6,1,3,2,14,4,,121,1,0,1,0,0,0,1,3.09,26,14,4,,94,1,1,1,0,0,0,1,1.68,26,11,4
121,2,0,0,1,1,0,0,0.89,48,1,1,24,5,1,6,1,3,2,14,4,,121,2,0,0,1,1,0,0,0.89,48,14,4,,94,2,0,0,1,0,1,0,0.36,57,11,4
121,3,1,0,0,0,0,0,0,0,1,1,24,5,1,6,1,3,2,14,4,,121,3,1,0,0,0,0,0,0,0,14,4,,94,3,0,0,0,0,0,0,0,0,11,4
122,1,0,1,0,1,0,0,0.49,91,1,1,24,5,1,6,1,3,2,14,5,,122,1,0,1,0,1,0,0,0.49,91,14,5,,95,1,0,1,0,1,1,0,3.09,26,11,5
122,2,0,0,1,0,1,0,1.06,57,1,1,24,5,1,6,1,3,2,14,5,,122,2,0,0,1,0,1,0,1.06,57,14,5,,95,2,1,0,1,0,1,0,1.06,20,11,5
122,3,1,0,0,0,0,0,0,0,1,1,24,5,1,6,1,3,2,14,5,,122,3,1,0,0,0,0,0,0,0,14,5,,95,3,0,0,0,0,0,0,0,0,11,5
123,1,0,1,0,0,0,1,0.49,167,1,1,24,5,1,6,1,3,2,14,6,,123,1,0,1,0,0,0,1,0.49,167,14,6,,96,1,1,1,0,0,0,1,1.68,91,11,6
123,2,0,0,1,0,1,0,0.89,20,1,1,24,5,1,6,1,3,2,14,6,,123,2,0,0,1,0,1,0,0.89,20,14,6,,96,2,0,0,1,1,0,0,1.06,20,11,6
123,3,1,0,0,0,0,0,0,0,1,1,24,5,1,6,1,3,2,14,6,,123,3,1,0,0,0,0,0,0,0,14,6,,96,3,0,0,0,0,0,0,0,0,11,6
124,1,0,1,0,0,0,1,3.09,167,1,1,24,5,1,6,1,3,2,14,7,,124,1,0,1,0,0,0,1,3.09,167,14,7,,97,1,1,1,0,1,0,0,1.68,167,11,7
124,2,0,0,1,0,0,1,1.06,57,1,1,24,5,1,6,1,3,2,14,7,,124,2,0,0,1,0,0,1,1.06,57,14,7,,97,2,0,0,1,1,0,0,0.89,57,11,7
124,3,1,0,0,0,0,0,0,0,1,1,24,5,1,6,1,3,2,14,7,,124,3,1,0,0,0,0,0,0,0,14,7,,97,3,0,0,0,0,0,0,0,0,11,7
125,1,0,1,0,1,0,0,0.49,26,1,1,24,5,1,6,1,3,2,14,8,,125,1,0,1,0,1,0,0,0.49,26,14,8,,98,1,0,1,0,0,1,0,0.49,26,11,8
125,2,1,0,1,1,0,0,0.36,20,1,1,24,5,1,6,1,3,2,14,8,,125,2,1,0,1,1,0,0,0.36,20,14,8,,98,2,1,0,1,0,0,1,0.89,57,11,8
125,3,0,0,0,0,0,0,0,0,1,1,24,5,1,6,1,3,2,14,8,,125,3,0,0,0,0,0,0,0,0,14,8,,98,3,0,0,0,0,0,0,0,0,11,8
126,1,0,1,0,0,1,0,3.09,91,1,1,24,5,1,6,1,3,2,14,9,,126,1,0,1,0,0,1,0,3.09,91,14,9,,99,1,1,1,0,0,1,0,0.49,167,11,9
126,2,0,0,1,1,0,0,0.36,57,1,1,24,5,1,6,1,3,2,14,9,,126,2,0,0,1,1,0,0,0.36,57,14,9,,99,2,0,0,1,1,0,0,1.06,48,11,9
